Time@Package_Name@Subscription_ID@Version@SFN@Sub-fn@CDRX_Event@Internal_Field_Mask
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@994@3@UL_RETX_TIMER_START@INACTIVITY_TIMER:PENDING_UL_RETX
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@994@3@SR_START@INACTIVITY_TIMER:PENDING_SR:PENDING_UL_RETX
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@994@6@UL_RETX_TIMER_END@INACTIVITY_TIMER:PENDING_SR
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@995@0@SR_END@INACTIVITY_TIMER
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@995@1@INACTIVITY_TIMER_START@INACTIVITY_TIMER
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@995@1@UL_RETX_TIMER_START@INACTIVITY_TIMER:PENDING_UL_RETX
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@995@4@UL_RETX_TIMER_END@INACTIVITY_TIMER
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@995@5@UL_RETX_TIMER_START@INACTIVITY_TIMER:PENDING_UL_RETX
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@995@8@UL_RETX_TIMER_END@INACTIVITY_TIMER
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@995@9@INACTIVITY_TIMER_START@INACTIVITY_TIMER
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@995@9@UL_RETX_TIMER_START@INACTIVITY_TIMER:PENDING_UL_RETX
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@996@1@INACTIVITY_TIMER_START@INACTIVITY_TIMER:PENDING_UL_RETX
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@996@2@UL_RETX_TIMER_END@INACTIVITY_TIMER
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@996@3@UL_RETX_TIMER_START@INACTIVITY_TIMER:PENDING_UL_RETX
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@996@3@SR_START@INACTIVITY_TIMER:PENDING_SR:PENDING_UL_RETX
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@996@6@UL_RETX_TIMER_END@INACTIVITY_TIMER:PENDING_SR
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@997@0@SR_END@INACTIVITY_TIMER
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@997@1@INACTIVITY_TIMER_START@INACTIVITY_TIMER
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@997@1@UL_RETX_TIMER_START@INACTIVITY_TIMER:PENDING_UL_RETX
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@997@4@UL_RETX_TIMER_END@INACTIVITY_TIMER
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@997@5@UL_RETX_TIMER_START@INACTIVITY_TIMER:PENDING_UL_RETX
2022 Sep 15  07:21:15.082@LTE_ML1_CDRX_Events_Info@1@2@997@8@UL_RETX_TIMER_END@INACTIVITY_TIMER
